"ContainerName","Image","Ports"
"kasm-lab","linuxserver/kasm:latest","0.0.0.0:443->443/tcp, [::]:443->443/tcp, 0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp"
"moodle-lms","ellakcy/moodle:mysql_maria_apache_405_php8.3","80/tcp"
"moodle-db","mysql:8.4","3306/tcp, 33060/tcp"
"drupal-crm","drupal:10.3-apache-bullseye","80/tcp"
"grafana","grafana/grafana:11.2.2","3000/tcp"
"keycloak-sso","quay.io/keycloak/keycloak:26.0.5","8080/tcp, 8443/tcp, 9000/tcp"
"mysqld-exporter","prom/mysqld-exporter:v0.16.0","9104/tcp"
"nextcloud-files","nextcloud:29.0.5-apache","80/tcp"
"n8n-db","postgres:16.3-alpine3.20","5432/tcp"
"nextcloud-db","postgres:16.3-alpine3.20","5432/tcp"
"n8n-workflow","n8nio/n8n:1.73.0","5678/tcp"
"keycloak-db","postgres:16.3-alpine3.20","5432/tcp"
"prometheus","prom/prometheus:v3.1.0","9090/tcp"
"cadvisor","gcr.io/cadvisor/cadvisor:v0.49.2","8080/tcp"
"drupal-db","postgres:16.3-alpine3.20","5432/tcp"
"traefik","traefik:v2.11.4","0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp"
