"ContainerName","Image","Ports","HasVulns","MostSevere","VulnerabilitiesCount"
"kasm-lab","linuxserver/kasm:latest","0.0.0.0:443->443/tcp, [::]:443->443/tcp, 0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp","True","HIGH","45"
"moodle-lms","ellakcy/moodle:mysql_maria_apache_405_php8.3","80/tcp","True","HIGH","280"
"moodle-db","mysql:8.4","3306/tcp, 33060/tcp","True","HIGH","11"
"drupal-crm","drupal:10.3-apache-bullseye","80/tcp","True","CRITICAL","1824"
"grafana","grafana/grafana:11.2.2","3000/tcp","True","CRITICAL","96"
"keycloak-sso","quay.io/keycloak/keycloak:26.0.5","8080/tcp, 8443/tcp, 9000/tcp","True","HIGH","64"
"mysqld-exporter","prom/mysqld-exporter:v0.16.0","9104/tcp","True","CRITICAL","23"
"nextcloud-files","nextcloud:29.0.5-apache","80/tcp","True","CRITICAL","2918"
"n8n-db","postgres:16.3-alpine3.20","5432/tcp","True","CRITICAL","92"
"nextcloud-db","postgres:16.3-alpine3.20","5432/tcp","True","CRITICAL","92"
"n8n-workflow","n8nio/n8n:1.73.0","5678/tcp","True","CRITICAL","67"
"keycloak-db","postgres:16.3-alpine3.20","5432/tcp","True","CRITICAL","92"
"prometheus","prom/prometheus:v3.1.0","9090/tcp","True","HIGH","46"
"cadvisor","gcr.io/cadvisor/cadvisor:v0.49.2","8080/tcp","True","CRITICAL","42"
"drupal-db","postgres:16.3-alpine3.20","5432/tcp","True","CRITICAL","92"
"traefik","traefik:v2.11.4","0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp","True","CRITICAL","57"
